column_one,column_two
3V3,C751
3V3,C2471
3V3,U111
3V3,R241
3V3,U28
3V3,C371
3V3,C461
3V3,U3B3
3V3,P1041
3V3,U1F3
3V3,C401
3V3,R651
3V3,C381
3V3,L311
3V3,U3D3
3V3,U1326
3V3,U3C7
3V3,R1351
3V3,C411
3V3,U1114
3V3,R321
3V3,R251
3V3,R692
3V3,U1C5
3V3,U3E7
3V3,C211
3V3,U1416
3V3,U3A7
3V3,C421
3V3,C671
3V3,U3J9
3V3,U1J13
3V3,L31
3V3,U1J12
3V3,C431
3V3,C231
3V3,C441
3V3,U1331
3V3,R661
3V3,R2251
3V3,R2041
3V3,DL53
3V3,C681
3V3,C251
3V3,U1C8
3V3,U3A9
3V3,C761
3V3,C451
3V3,U1C7
3V3,U1K4
3V3,R311
3V3,C691
3V3,R2221
3V3,C2461
3V3,C281
3V3,R2181
3V3,U1N10
3V3,C221
3V3,C241
3V3,C331
3V3,U1N9
3V3,C321
3V3,U1N8
3V3,TP891
3V3,C311
3V3,C301
3V3,U1G13
3V3,C271
3V3,U1G3
3V3,C261
3V3,U371
3V3,U1C9
3V3,R841
3V3,R1341
3V3,R1441
3V3,R951
3V3,DL51
BLE-INTR-OUT,U1336
BLE-INTR-OUT,U1A11
RF-TxRx-D0,RN95
RF-TxRx-D0,TP1011
RF-TxRx-D0,U1E14
$1N6699,C2561
$1N6699,U1H13
$2N1084,U1M11
$2N1084,RN5411
ACCL-I2C-SCL,U114
ACCL-I2C-SCL,R652
ACCL-I2C-SCL,U1L12
ANT,C3011
ANT,R2671
ANT,C1932
$12N4831,U2719
$12N4831,TP1591
DIG-ANA-IN-4,R2332
DIG-ANA-IN-4,U1M5
DIG-ANA-IN-4,C2891
DIG-ANA-IN-4,TP951
RF-TxRx-D5,RN94
RF-TxRx-D5,U1C4
RF-TxRx-D5,TP1071
$11N4231,R2471
$11N4231,D35C
$6N3300,U1754
$6N3300,TP731
FMC_BA1,U3G8
FMC_BA1,RN543
$6N2546,U165
$6N2546,TP431
$6N2546,R1252
$6N2546,R1241
$6N2546,R1152
$8N5802,E11
$8N5802,U314
$8N3894,U204
$8N3894,TP691
$8N3894,C1631
$8N3894,L491
FMC_D14,U3B1
FMC_D14,RN517
QUADSPI_BK1_IO0,RN551
QUADSPI_BK1_IO0,U25
3V3-DIG-EN-OD,R2562
3V3-DIG-EN-OD,U1B13
RF-LNA2-EN,U1B15
RF-LNA2-EN,L471
$12N3172,U368
$12N3172,C2802
RF-TxRx-D4,RN24
RF-TxRx-D4,U1D4
RF-TxRx-D4,TP1101
$2N1196,U1A3
$2N1196,RN5311
$2N1308,U1L14
$2N1308,RN5011
FMC_A9,U3G3
FMC_A9,RN534
$2N748,U1P6
$2N748,RN5210
$8N3937,U206
$8N3937,TP681
$8N3937,L501
$8N3937,C1641
$2N767,U1N6
$2N767,RN529
RF-TxRx-D6,TP1031
RF-TxRx-D6,RN96
RF-TxRx-D6,U1C3
$2N861,U1M7
$2N861,RN5315
$6N3302,U1752
$6N3302,TP711
$13N492,R2551
$13N492,R2612
$13N492,U383
RS232-TX,U1414
RS232-TX,L12
$2N786,U1R7
$2N786,RN5314
EN-LDO-3.3V,R341
EN-LDO-3.3V,U1H15
FMC_D11,U3C2
FMC_D11,TP1281
FMC_D11,RN515
FMC_D8,U3E1
FMC_D8,RN511
$2N1010,U1B7
$2N1010,RN5412
RF-TX-PA-EN,U1A5
RF-TX-PA-EN,TP81
RF-TX-PA-EN,U373
$2N805,U1P7
$2N805,RN5313
$8N5903,R2161
$8N5903,U311
$8N1502,R1362
$8N1502,C2031
FMC_A0,U3H7
FMC_A0,RN521
FMC_A7,U3H2
FMC_A7,RN528
FMC_A7,TP1301
LIME_RES_36MHz,R2391
LIME_RES_36MHz,U344
$10N1415,C2221
$10N1415,D171
$10N1415,L11
$10N1415,P159
$7N668,C1361
$7N668,R1101
$7N668,L292
$7N668,C1891
$2N917,U1K14
$2N917,RN5416
$10N479,P156
$10N479,R1831
$6N979,R92
$6N979,U1775
$6N979,TP271
$6N979,R952
$2N973,U1J4
$2N973,RN5410
$2N1047,U1R6
$2N1047,RN549
FMC_D15,RN516
FMC_D15,U3A2
$2N1103,U1N12
$2N1103,RN5413
$2N1553,RN5114
$2N1553,U1R11
$6N990,R122
$6N990,U1767
$8N1233,U216
$8N1233,L511
ACCL-I2C-SA0,TP131
ACCL-I2C-SA0,U117
$6N2139,C1182
$6N2139,R1011
$7N132,C1791
$7N132,U1737
$7N132,L232
$11N1360,D9C
$11N1360,Q83
FMC_A8,U3H1
FMC_A8,RN533
VIN-MAIN,R1971
VIN-MAIN,L542
VIN-MAIN,TP791
VIN-MAIN,R2631
VIN-MAIN,R2571
VIN-MAIN,C2241
VIN-MAIN,D413
VIN-MAIN,Q134
VIN-MAIN,R2621
$11N4089,R2311
$11N4089,R2072
$11N4089,D29C
$2N1140,U1H14
$2N1140,RN5415
FMC_A11,U3G2
FMC_A11,RN532
$2N1177,RN5312
$2N1177,U1A4
$3N1188,R2222
$3N1188,P1021
EN-LDO-1.8V,R331
EN-LDO-1.8V,U1P5
$6N995,R112
$6N995,U1770
CONN-IO-1,C2201
CONN-IO-1,R1871
CONN-IO-1,D241
CONN-IO-1,R2472
CONN-IO-1,R1812
$12N294,U274
$12N294,C2311
$12N294,R221
$7N1737,C1471
$7N1737,L372
$7N1737,U1783
$8N1190,U205
$8N1190,C1931
$10N461,P157
$10N461,R1821
$2N1289,U1M14
$2N1289,RN5012
FMC_A1,U3H8
FMC_A1,RN522
$2N1345,U1B12
$2N1345,RN509
$2N1420,U1P8
$2N1420,RN5015
$2N1628,U1N15
$2N1628,RN5111
$11N4402,R2501
$11N4402,D38C
$13N362,R2601
$13N362,Q133
$13N362,R2632
$13N362,D411
$5N8228,U126
$5N8228,TP241
$7N420,L262
$7N420,U17111
$7N420,U17112
$7N420,C1391
EN-SW-5V,R532
EN-SW-5V,U1G15
FMC_A10,U3H9
FMC_A10,RN531
RF-TX-Enable,U1N3
RF-TX-Enable,TP51
RF-TX-Enable,U1766
RF-TX-Enable,R962
HS-OSC-OUT,TP31
HS-OSC-OUT,U1H1
$10N515,P1511
$10N515,R1851
$1N2810,U1M1
$1N2810,L41
$2N1458,U1R9
$2N1458,RN5014
$7N8565,R1492
$7N8565,C1921
DIG-ANA-IN-3,R2322
DIG-ANA-IN-3,U1M4
DIG-ANA-IN-3,C2871
DIG-ANA-IN-3,TP931
$2N1477,U1P10
$2N1477,RN5116
RF-TxRx-D9,RN91
RF-TxRx-D9,TP1001
RF-TxRx-D9,U1D3
$5N33,U118
$5N33,R322
$5N2644,U144
$5N2644,C722
CONN-IO-PU-1,U1N4
CONN-IO-PU-1,D35A
CONN-IO-PU-1,TP961
$2N1590,U1P15
$2N1590,RN519
$6N2530,C1192
$6N2530,R1031
Debug-Tx,U1A12
Debug-Tx,P71
$5N1760,C871
$5N1760,U1328
Debug-Rx,U1D12
Debug-Rx,P72
FMC_D10,U3D1
FMC_D10,RN512
$11N4073,R2301
$11N4073,R1872
$11N4073,D28C
$1N1852,R261
$1N1852,R252
$1N1852,U1D6
$6N11247,R991
$6N11247,C1162
$8N1192,R2672
$8N1192,R2162
$8N1192,J11
$8N1192,C3021
$1N3004,C841
$1N3004,U1M10
$3N8961,R2131
$3N8961,P10210
VREF,U1P1
VREF,U82
VREF,C2821
VREF,R552
VREF,R572
$10N497,P1510
$10N497,R1841
$7N8471,R1111
$7N8471,L302
$7N8471,C1351
$7N8471,C1901
$2N6448,Q103
$2N6448,R2231
$7N2109,R1502
$7N2109,R1511
$7N2109,R971
$8N1612,R1681
$8N1612,FL2B
FMC_SDNRAS,U3F8
FMC_SDNRAS,RN548
$5N8306,R141
$5N8306,U1214
$6N1760,U1787
$6N1760,C1031
$6N1760,R1731
$6N846,U1797
$6N846,C922
FMC_A4,U3J3
FMC_A4,RN525
$7N666,L282
$7N666,U1735
$7N666,C1371
$7N946,U1784
$7N946,R1112
FMC_SDCKE1,U3F3
FMC_SDCKE1,RN544
Pin62,L242
Pin62,U1763
Pin62,U1759
Pin62,U1762
Pin62,C1411
TXCPOUT,U1764
TXCPOUT,C1151
TXCPOUT,C1041
TXCPOUT,TP261
TXCPOUT,R1402
GNSS-UART-RXD,L71
GNSS-UART-RXD,U1A7
$2N8601,Q106
$2N8601,DL52
+5V,C2951
+5V,Q91
+5V,Q96
+5V,Q92
+5V,L641
+5V,Q95
+5V,C2921
+5V,TP801
$6N9779,U334
$6N9779,U352
$6N9779,U342
CONN-IO-5,C2161
CONN-IO-5,R2101
CONN-IO-5,D201
CONN-IO-5,R2512
CONN-IO-5,R1852
$8N8403,R1061
$8N8403,L452
BLE-DBG-TCK,P1044
BLE-DBG-TCK,U1339
$7N1572,U17107
$7N1572,L352
$7N1572,U17109
$7N1572,C1451
CONN-IO-PU-5,U1A2
CONN-IO-PU-5,D39A
CONN-IO-PU-5,TP1431
$7N2105,C1501
$7N2105,U185
$7N2105,L402
$7N8131,R1482
$7N8131,C1911
FMC_NBL0,U3E8
FMC_NBL0,RN535
$8N8565,R1051
$8N8565,L472
3V3-HP,C2422
3V3-HP,U282
3V3-HP,R2652
3V3-HP,R1981
3V3-HP,C141
3V3-HP,C2381
3V3-HP,Q143
3V3-HP,TP841
FMC_D2,U3B8
FMC_D2,RN508
RS232-DIG-RX,TP71
RS232-DIG-RX,U1412
RS232-DIG-RX,U1D15
$10N1813,R2021
$10N1813,P151
$5N18,U122
$5N18,R312
FMC_A5,U3J2
FMC_A5,RN526
FMC_D4,U3C8
FMC_D4,RN501
GNSS-UART-TXD,L82
GNSS-UART-TXD,U1C10
RESET-STM32,U1333
RESET-STM32,R2431
$6N4304,U1724
$6N4304,RN210
$7N1492,C1441
$7N1492,U1786
$7N1492,L342
$7N2120,L412
$7N2120,U195
$7N2120,C1861
ACCL-I2C-SDA,U116
ACCL-I2C-SDA,R662
ACCL-I2C-SDA,U1K12
$6N800,R1411
$6N800,R1392
