column_one,column_two
"""$6N4418""",U1730
"""$6N4418""",RN916
"""$6N4437""",U1731
"""$6N4437""",RN29
"""$6N4456""",RN212
"""$6N4456""",U1732
"""$6N795""",R1722
"""$6N795""",U1789
"""$6N797""",R1412
"""$6N797""",U1739
"""$6N800""",R1392
"""$6N800""",R1411
"""$6N823""",C1852
"""$6N823""",U1738
"""$6N846""",C922
"""$6N846""",U1797
"""$6N8490""",TP341
"""$6N8490""",R101
"""$6N8490""",U1769
"""$6N882""",C932
"""$6N882""",TP121
"""$6N882""",U1799
"""$6N9779""",U352
"""$6N9779""",U342
"""$6N9779""",U334
"""$6N979""",R952
"""$6N979""",R92
"""$6N979""",TP271
"""$6N979""",U1775
"""$6N990""",R122
"""$6N990""",U1767
"""$6N995""",R112
"""$6N995""",U1770
"""$7N1021""",U171
"""$7N1021""",U1712
"""$7N1021""",U1718
"""$7N1021""",R1352
"""$7N1021""",C1781
"""$7N1239""",R1342
"""$7N1239""",U1734
"""$7N1239""",C1771
"""$7N1247""",U177
"""$7N1247""",C1801
"""$7N1247""",L312
"""$7N132""",C1791
"""$7N132""",U1737
"""$7N132""",L232
"""$7N1328""",U1774
"""$7N1328""",L322
"""$7N1328""",C1811
"""$7N1407""",U1758
"""$7N1407""",C1431
"""$7N1407""",L332
"""$7N1492""",C1441
"""$7N1492""",U1786
"""$7N1492""",L342
"""$7N1572""",C1451
"""$7N1572""",U17107
"""$7N1572""",U17109
"""$7N1572""",L352
"""$7N1734""",L362
"""$7N1734""",U1761
"""$7N1734""",C1461
"""$7N1737""",L372
"""$7N1737""",U1783
"""$7N1737""",C1471
"""$7N1818""",R1162
"""$7N1818""",R1452
"""$7N1818""",L382
"""$7N1818""",C1481
"""$7N1896""",R1161
"""$7N1896""",U1772
"""$7N1898""",C1491
"""$7N1898""",U1733
"""$7N1898""",U1736
"""$7N1898""",L392
"""$7N2029""",R1451
"""$7N2029""",U1773
"""$7N2105""",C1501
"""$7N2105""",U185
"""$7N2105""",L402
"""$7N2108""",U181
"""$7N2108""",C1301
"""$7N2108""",R1222
"""$7N2108""",R972
"""$7N2109""",R1502
"""$7N2109""",R1511
"""$7N2109""",R971
"""$7N2116""",U183
"""$7N2116""",R1541
"""$7N2116""",R1481
"""$7N2120""",U195
"""$7N2120""",L412
"""$7N2120""",C1861
"""$7N2123""",U191
"""$7N2123""",C1311
"""$7N2123""",R1232
"""$7N2123""",R982
"""$7N2124""",R1531
"""$7N2124""",R1522
"""$7N2124""",R981
"""$7N2131""",U193
"""$7N2131""",R1551
"""$7N2131""",R1491
"""$7N2133""",U194
"""$7N2133""",R81
"""$7N2133""",C1062
"""$7N2133""",R1552
"""$7N420""",U17111
"""$7N420""",U17112
"""$7N420""",L262
"""$7N420""",C1391
"""$7N503""",L272
"""$7N503""",U1790
"""$7N503""",U17101
"""$7N503""",C1381
"""$7N665""",U1760
"""$7N665""",R1102
"""$7N666""",L282
"""$7N666""",U1735
"""$7N666""",C1371
"""$7N668""",L292
"""$7N668""",C1891
"""$7N668""",C1361
"""$7N668""",R1101
"""$7N7438""",U184
"""$7N7438""",R71
"""$7N7438""",R1542
"""$7N7438""",C1072
"""$7N8131""",C1911
"""$7N8131""",R1482
"""$7N8471""",C1901
"""$7N8471""",C1351
"""$7N8471""",L302
"""$7N8471""",R1111
"""$7N8565""",C1921
"""$7N8565""",R1492
"""$7N946""",U1784
"""$7N946""",R1112
"""$8N10075""",C2612
"""$8N10075""",U212
"""$8N10075""",R1062
"""$8N1088""",FL31
"""$8N1088""",C2832
"""$8N1091""",C2091
"""$8N1091""",C2071
"""$8N1091""",R2662
"""$8N11129""",FL33
"""$8N11129""",C2041
"""$8N11129""",R2661
"""$8N11241""",U313
"""$8N11241""",R2271
"""$8N1167""",U203
"""$8N1167""",C2092
"""$8N1190""",C1931
"""$8N1190""",U205
"""$8N1192""",C3021
"""$8N1192""",R2162
"""$8N1192""",J11
"""$8N1192""",R2672
"""$8N1214""",U201
